year,land,AUS,AUT,BEL,BRA,BGR,CAN,CHN,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IND,IDN,IRL,ITA,JPN,LVA,LTU,LUX,MLT,MEX,NLD,NOR,POL,PRT,ROM,WWF,WWL,WWA,WWE,WWM,RUS,SVK,SVN,ZAF,KOR,ESP,SWE,CHE,TWN,TUR,GBR,USA
2015,woodland,1,1,1,0.461406801781614,0.467899787983197,1,0.528234285609987,1,1,1,1,1,1,1,1,1,0.257747721258453,0.39481194117255,0.06813627254509,1,1,1,1,1,1,1,0.79232693911593,1,1,0.051992224476176,1,0.342859068347212,0.813868433597387,0.643409536015501,0.755223997552722,0.613730818081125,0.676615804305696,0.163102260429061,1,1,0.458881199916866,1,1,1,1,1,0.196516122064472,1,1
2015,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2014,woodland,1,1,1,0.461406801781614,0.467899787983196,1,0.528234285609983,1,1,1,1,1,1,1,1,1,0.475279358805089,0.86282229591108,0.394811941172549,1,1,1,1,1,1,1,0.889774218288434,1,1,0.139047450030699,1,0.342859068347209,0.857066668631645,0.637714644699431,0.614652484350534,0.613811136337727,0.249377806226737,0.163102260429056,1,1,0.45888119991686,1,1,1,1,1,0.196516122064473,1,1
2014,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2013,woodland,1,1,1,0.48577017359893,0.474727026285521,1,0.571418671432966,1,1,1,1,1,1,1,1,1,0.493419203376376,0.885632775673741,0.438179571957591,1,1,1,1,1,1,1,0.880594215518073,1,1,0.133242422421663,1,0.296385378374168,0.854285674213805,0.650193207854938,0.634598406718363,0.5646570386471,0.249574414085727,0.196360816796997,1,1,0.440930330107747,1,1,1,1,1,0.212066959921295,1,1
2013,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2012,woodland,1,1,1,0.510133545416245,0.481554264587848,1,0.614603057255948,1,1,1,1,1,1,1,1,1,0.511559047947664,0.908443255436403,0.481547202742632,1,1,1,1,1,1,1,0.871414212747713,1,1,0.127437394812629,1,0.249911688401127,0.851549145932113,0.650193207854938,0.654323707897539,0.515298056930463,0.249770919870551,0.229619373164937,1,1,0.422979460298642,1,1,1,1,1,0.227617797778116,1,1
2012,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2011,woodland,1,1,1,0.534496917233561,0.488381502890173,1,0.657787443078917,1,1,1,1,1,1,1,1,1,0.529698892518951,0.931253735199064,0.524914833527674,1,1,1,1,1,1,1,0.862234209977352,1,1,0.121632367203594,1,0.203437998428086,0.848856478250512,0.674936747232837,0.673829553877935,0.465733888535496,0.249967323509107,0.262877929532877,1,1,0.405028590489529,1,1,1,1,1,0.243168635634934,1,1
2011,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2010,woodland,1,1,1,0.534496917233557,0.488381502890173,1,0.657787443078926,1,1,1,1,1,1,1,1,1,0.529698892518948,0.931253735199061,0.524914833527679,1,1,1,1,1,1,1,0.862234209977354,1,1,0.121632367203594,1,0.20343799842809,0.849242982847151,0.675175816532948,0.674488322558872,0.465678450003898,0.249934407909996,0.262877929532872,1,1,0.405028590489532,1,1,1,1,1,0.243168635634935,1,1
2010,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2009,woodland,1,1,1,0.534496917233557,0.488381502890173,1,0.657787443078924,1,1,1,1,1,1,1,1,1,0.529698892518948,0.931253735199061,0.524914833527674,1,1,1,1,1,1,1,0.862234209977354,1,1,0.121632367203594,1,0.20343799842809,0.849517248507209,0.675322461202321,0.674968949121627,0.467121011516207,0.249805540150201,0.262877929532872,1,1,0.405028590489532,1,1,1,1,1,0.243168635634937,1,1
2009,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2008,woodland,1,1,1,0.542367072554173,0.490889926555593,1,0.670400384131124,1,1,1,1,1,1,1,1,1,0.528612605228825,0.931067825380161,0.548898366730462,1,1,1,1,1,1,1,0.86452708988241,1,1,0.118388239269712,1,0.217589730289287,0.848999702022086,0.681874044645926,0.684202271075916,0.4762322417569,0.250534176479748,0.265823991218707,1,1,0.402724519895314,1,1,1,1,1,0.269759470849941,1,1
2008,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2007,woodland,1,1,1,0.550237227874788,0.493398350221014,1,0.683013325183325,1,1,1,1,1,1,1,1,1,0.527526317938702,0.930881915561262,0.572881899933257,1,1,1,1,1,1,1,0.866819969787466,1,1,0.11514411133583,1,0.231741462150488,0.848500944623097,0.68838260989327,0.69344085192088,0.485119396430013,0.251290192775993,0.268770052904543,1,1,0.400420449301095,1,1,1,1,1,0.296350306064937,1,1
2007,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2006,woodland,1,1,1,0.558107383195404,0.495906773886434,1,0.695626266235529,1,1,1,1,1,1,1,1,1,0.52644003064858,0.930696005742362,0.596865433136045,1,1,1,1,1,1,1,0.869112849692521,1,1,0.111899983401949,1,0.245893194011686,0.848020687728151,0.694848755441309,0.702684719423927,0.49377293815127,0.252073630025492,0.271716114590378,1,1,0.398116378706877,1,1,1,1,1,0.322941141279934,1,1
2006,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2005,woodland,1,1,1,0.558107383195405,0.495906773886434,1,0.695626266235529,1,1,1,1,1,1,1,1,1,0.52644003064858,0.930696005742362,0.596865433136046,1,1,1,1,1,1,1,0.869112849692521,1,1,0.111899983401948,1,0.245893194011684,0.848315579267406,0.694928676859434,0.703177527047229,0.480527776362557,0.251985592574494,0.271716114590378,1,1,0.398116378706878,1,1,1,1,1,0.322941141279931,1,1
2005,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2004,woodland,1,1,1,0.558107383195402,0.495906773886432,1,0.695626266235529,1,1,1,1,1,1,1,1,1,0.52644003064858,0.930696005742362,0.596865433136045,1,1,1,1,1,1,1,0.86911284969252,1,1,0.111899983401951,1,0.245893194011684,0.848621736354379,0.695026187868042,0.703311106208322,0.480200036552599,0.255051223039128,0.271716114590376,1,1,0.398116378706877,1,1,1,1,1,0.322941141279934,1,1
2004,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2003,woodland,1,1,1,0.567731766024149,0.457355894025312,1,0.70079299786015,1,1,1,1,1,1,1,1,1,0.500434244370105,0.932674937573906,0.612606131643023,1,1,1,1,1,1,1,0.859983246298576,1,1,0.096051560095255,1,0.244871306596019,0.848832244756301,0.705094529998441,0.701423696570192,0.464080221617308,0.250761922232139,0.283493971925914,1,1,0.402952697453083,1,1,1,1,1,0.340319355581826,1,1
2003,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2002,woodland,1,1,1,0.5773561488529,0.418805014164207,1,0.70595972948477,1,1,1,1,1,1,1,1,1,0.474428458091637,0.934653869405449,0.628346830149997,1,1,1,1,1,1,1,0.850853642904632,1,1,0.080203136788562,1,0.243849419180354,0.84903084020543,0.715155162554204,0.699530428591634,0.447936032625297,0.246313242700985,0.295271829261452,1,1,0.407789016199287,1,1,1,1,1,0.357697569883726,1,1
2002,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2001,woodland,1,1,1,0.586980531681647,0.380254134303087,1,0.711126461109391,1,1,1,1,1,1,1,1,1,0.448422671813162,0.936632801236992,0.644087528656975,1,1,1,1,1,1,1,0.841724039510687,1,1,0.064354713481869,1,0.242827531764689,0.849217693518551,0.725208184725636,0.697631368770439,0.431767331279066,0.241694859276481,0.30704968659699,1,1,0.41262533494549,1,1,1,1,1,0.375075784185618,1,1
2001,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2000,woodland,1,1,1,0.586980531681648,0.380254134303093,1,0.71112646110939,1,1,1,1,1,1,1,1,1,0.44842267181316,0.936632801236992,0.644087528656977,1,1,1,1,1,1,1,0.841724039510686,1,1,0.064354713481867,1,0.242827531764689,0.849499038662056,0.725292246472916,0.69775377510383,0.431399647824047,0.244838398985844,0.307049686596991,1,1,0.41262533494549,1,1,1,1,1,0.375075784185615,1,1
2000,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
1999,woodland,1,1,1,0.590674305610779,0.380895512819007,1,0.707913082913279,1,1,1,1,1,1,1,1,1,0.44626038923034,0.934964205853078,0.655280777735715,1,1,1,1,1,1,1,0.840904424601187,1,1,0.071013456631057,1,0.233378912657944,0.850440430895157,0.722596553246777,0.69554408001019,0.424884677479035,0.259536828648011,0.298640688717946,1,1,0.421313167718157,1,1,1,1,1,0.402267634534354,1,1
1999,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
1998,woodland,1,1,1,0.594368079539909,0.381536891334921,1,0.704699704717169,1,1,1,1,1,1,1,1,1,0.444098106647519,0.933295610469163,0.666474026814456,1,1,1,1,1,1,1,0.840084809691687,1,1,0.077672199780247,1,0.223930293551199,0.851366838673357,0.719870571845413,0.693287310613673,0.418372629294875,0.274224867442926,0.290231690838901,1,1,0.430001000490822,1,1,1,1,1,0.429459484883083,1,1
1998,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
1997,woodland,1,1,1,0.59806185346904,0.382178269850835,1,0.701486326521059,1,1,1,1,1,1,1,1,1,0.4419358240647,0.931627015085249,0.677667275893199,1,1,1,1,1,1,1,0.839265194782187,1,1,0.084330942929435,1,0.214481674444453,0.852278499267169,0.717114693529887,0.690983803032733,0.411863535261367,0.288902414268775,0.281822692959857,1,1,0.438688833263488,1,1,1,1,1,0.456651335231818,1,1
1997,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
1996,woodland,1,1,1,0.60175562739817,0.382819648366749,1,0.698272948324949,1,1,1,1,1,1,1,1,1,0.439773541481879,0.929958419701334,0.68886052497194,1,1,1,1,1,1,1,0.838445579872688,1,1,0.090989686078626,1,0.205033055337708,0.853175644964016,0.714329302851103,0.688633890193497,0.405357427836954,0.303569366707871,0.273413695080812,1,1,0.447376666036153,1,1,1,1,1,0.483843185580554,1,1
1996,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
1995,woodland,1,1,1,0.6054494013273,0.383461026882663,1,0.695059570128838,1,1,1,1,1,1,1,1,1,0.43761125889906,0.92828982431742,0.70005377405068,1,1,1,1,1,1,1,0.837625964963189,1,1,0.097648429227814,1,0.195584436230959,0.854058503198357,0.711514777793043,0.686237901867576,0.398854339957343,0.31822562100515,0.265004697201771,1,1,0.456064498808818,1,1,1,1,1,0.511035035929282,1,1
1995,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
